y	x	group	clickSelects
48.81497	2.37827	3	2009-04-11:15:51:05
48.81628	2.37689	3	2009-04-11:15:51:05
48.81762	2.37564	3	2009-04-11:15:51:05
48.81872	2.3739	3	2009-04-11:15:51:05
48.81996	2.37247	3	2009-04-11:15:51:05
48.82094	2.37061	3	2009-04-11:15:51:05
48.82136	2.3685	3	2009-04-11:15:51:05
48.82062	2.36639	3	2009-04-11:15:51:05
48.81999	2.36415	3	2009-04-11:15:51:05
48.81915	2.36216	3	2009-04-11:15:51:05
48.81874	2.35991	3	2009-04-11:15:51:05
48.81899	2.35766	3	2009-04-11:15:51:05
48.82026	2.35635	3	2009-04-11:15:51:05
48.82105	2.35438	3	2009-04-11:15:51:05
48.82107	2.35202	3	2009-04-11:15:51:05
48.82067	2.34968	3	2009-04-11:15:51:05
48.81986	2.34746	3	2009-04-11:15:51:05
48.81936	2.34515	3	2009-04-11:15:51:05
48.81975	2.34287	3	2009-04-11:15:51:05
48.81975	2.34065	3	2009-04-11:15:51:05
48.81987	2.34047	3	2009-04-11:15:51:05
48.8199	2.34041	3	2009-04-11:15:51:05
48.81993	2.34037	3	2009-04-11:15:51:05
48.81998	2.34032	3	2009-04-11:15:51:05
48.82001	2.34028	3	2009-04-11:15:51:05
48.82003	2.34025	3	2009-04-11:15:51:05
48.82006	2.34022	3	2009-04-11:15:51:05
48.82008	2.34018	3	2009-04-11:15:51:05
