colour	y	x	key	label	showSelected1	showSelected2	showSelected3	group
#FF0000	48.2	1	end	end: paris (75113), paris (75), Île-de-France	2009-10-04:13:10:21	end	nearby cities	106
#FF0000	48.3	1	start	start: vincennes (94080), val-de-marne (94), Île-de-France	2009-10-07:18:41:11	start	nearby cities	218
#FF0000	48.2	1	end	end: paris (75113), paris (75), Île-de-France	2009-10-07:18:41:11	end	nearby cities	107
#FF0000	48.3	1	start	start: charenton le pont (94018), val-de-marne (94), Île-de-France	2009-10-11:08:51:39	start	nearby cities	219
#FF0000	48.2	1	end	end: seine port (77447), seine-et-marne (77), Île-de-France	2009-10-11:08:51:39	end	nearby cities	108
#FF0000	48.3	1	start	start: seine port (77447), seine-et-marne (77), Île-de-France	2009-10-11:12:10:11	start	nearby cities	220
#FF0000	48.2	1	end	end: maincy (77269), seine-et-marne (77), Île-de-France	2009-10-11:12:10:11	end	nearby cities	109
#FF0000	48.3	1	start	start: joinville le pont (94042), val-de-marne (94), Île-de-France	2009-10-25:07:22:37	start	nearby cities	221
#FF0000	48.2	1	end	end: meaux (77284), seine-et-marne (77), Île-de-France	2009-10-25:07:22:37	end	nearby cities	110
#FF0000	48.3	1	start	start: meaux (77284), seine-et-marne (77), Île-de-France	2009-10-25:10:25:19	start	nearby cities	222
#FF0000	48.2	1	end	end: paris (75103), paris (75), Île-de-France	2009-10-25:10:25:19	end	nearby cities	111
